Vintage,1996Q3,1996Q3,1996Q3,1996Q3,1996Q4,1996Q4,1996Q4,1996Q4,1997Q1,1997Q1,1997Q1,1997Q1,1997Q2,1997Q2,1997Q2,1997Q2,1997Q3,1997Q3,1997Q3,1997Q3,1997Q4,1997Q4,1997Q4,1997Q4,1998Q1,1998Q1,1998Q1,1998Q1,1998Q2,1998Q2,1998Q2,1998Q2,1998Q3,1998Q3,1998Q3,1998Q3,1998Q4,1998Q4,1998Q4,1998Q4,1999Q1,1999Q1,1999Q1,1999Q1,1999Q2,1999Q2,1999Q2,1999Q2,1999Q3,1999Q3,1999Q3,1999Q3,1999Q4,1999Q4,1999Q4,1999Q4,2000Q1,2000Q1,2000Q1,2000Q1,2000Q2,2000Q2,2000Q2,2000Q2,2000Q3,2000Q3,2000Q3,2000Q3,2000Q4,2000Q4,2000Q4,2000Q4,2001Q1,2001Q1,2001Q1,2001Q1,2001Q2,2001Q2,2001Q2,2001Q2,2001Q3,2001Q3,2001Q3,2001Q3,2001Q4,2001Q4,2001Q4,2001Q4,2002Q1,2002Q1,2002Q1,2002Q1,2002Q2,2002Q2,2002Q2,2002Q2,2002Q3,2002Q3,2002Q3,2002Q3,2002Q4,2002Q4,2002Q4,2002Q4,2003Q1,2003Q1,2003Q1,2003Q1,2003Q2,2003Q2,2003Q2,2003Q2,2003Q3,2003Q3,2003Q3,2003Q3,2003Q4,2003Q4,2003Q4,2003Q4
ForecastHorizon,1996Q4,1997Q1,1997Q2,1997Q3,1997Q1,1997Q2,1997Q3,1997Q4,1997Q2,1997Q3,1997Q4,1998Q1,1997Q3,1997Q4,1998Q1,1998Q2,1997Q4,1998Q1,1998Q2,1998Q3,1998Q1,1998Q2,1998Q3,1998Q4,1998Q2,1998Q3,1998Q4,1999Q1,1998Q3,1998Q4,1999Q1,1999Q2,1998Q4,1999Q1,1999Q2,1999Q3,1999Q1,1999Q2,1999Q3,1999Q4,1999Q2,1999Q3,1999Q4,2000Q1,1999Q3,1999Q4,2000Q1,2000Q2,1999Q4,2000Q1,2000Q2,2000Q3,2000Q1,2000Q2,2000Q3,2000Q4,2000Q2,2000Q3,2000Q4,2001Q1,2000Q3,2000Q4,2001Q1,2001Q2,2000Q4,2001Q1,2001Q2,2001Q3,2001Q1,2001Q2,2001Q3,2001Q4,2001Q2,2001Q3,2001Q4,2002Q1,2001Q3,2001Q4,2002Q1,2002Q2,2001Q4,2002Q1,2002Q2,2002Q3,2002Q1,2002Q2,2002Q3,2002Q4,2002Q2,2002Q3,2002Q4,2003Q1,2002Q3,2002Q4,2003Q1,2003Q2,2002Q4,2003Q1,2003Q2,2003Q3,2003Q1,2003Q2,2003Q3,2003Q4,2003Q2,2003Q3,2003Q4,2004Q1,2003Q3,2003Q4,2004Q1,2004Q2,2003Q4,2004Q1,2004Q2,2004Q3,2004Q1,2004Q2,2004Q3,2004Q4
Data,-1.0768,-0.86301,-0.31777,0.51319,-0.86301,-0.31777,0.51319,-0.29166,-0.31777,0.51319,-0.29166,-0.11348,0.51319,-0.29166,-0.11348,-0.65532,-0.29166,-0.11348,-0.65532,1.1788,-0.11348,-0.65532,1.1788,2.2158,-0.65532,1.1788,2.2158,-0.68534,1.1788,2.2158,-0.68534,0.13711,2.2158,-0.68534,0.13711,-1.6823,-0.68534,0.13711,-1.6823,0.41803,0.13711,-1.6823,0.41803,-0.57122,-1.6823,0.41803,-0.57122,0.46205,0.41803,-0.57122,0.46205,0.83281,-0.57122,0.46205,0.83281,2.329,0.46205,0.83281,2.329,0.73687,0.83281,2.329,0.73687,1.0687,2.329,0.73687,1.0687,0.55995,0.73687,1.0687,0.55995,-0.2815,1.0687,0.55995,-0.2815,-0.92949,0.55995,-0.2815,-0.92949,1.2745,-0.2815,-0.92949,1.2745,0.7014,-0.92949,1.2745,0.7014,-0.81083,1.2745,0.7014,-0.81083,-0.48888,0.7014,-0.81083,-0.48888,-0.30908,-0.81083,-0.48888,-0.30908,-0.88434,-0.48888,-0.30908,-0.88434,-1.5221,-0.30908,-0.88434,-1.5221,-0.043659,-0.88434,-1.5221,-0.043659,2.2233,-1.5221,-0.043659,2.2233,-1.7459,-0.043659,2.2233,-1.7459,1.0044
,0.24288,0.012129,0.14157,1.0867,0.012129,0.14157,1.0867,-0.93415,0.14157,1.0867,-0.93415,-0.6486,1.0867,-0.93415,-0.6486,0.34937,-0.93415,-0.6486,0.34937,1.2079,-0.6486,0.34937,1.2079,1.087,0.34937,1.2079,1.087,1.0427,1.2079,1.087,1.0427,-0.62523,1.087,1.0427,-0.62523,-0.03751,1.0427,-0.62523,-0.03751,-1.0851,-0.62523,-0.03751,-1.0851,0.25869,-0.03751,-1.0851,0.25869,0.23882,-1.0851,0.25869,0.23882,0.62452,0.25869,0.23882,0.62452,-1.5257,0.23882,0.62452,-1.5257,0.8364,0.62452,-1.5257,0.8364,-3.3796,-1.5257,0.8364,-3.3796,-0.85499,0.8364,-3.3796,-0.85499,1.2291,-3.3796,-0.85499,1.2291,1.1285,-0.85499,1.2291,1.1285,0.80883,1.2291,1.1285,0.80883,0.092139,1.1285,0.80883,0.092139,0.80222,0.80883,0.092139,0.80222,0.19827,0.092139,0.80222,0.19827,0.47874,0.80222,0.19827,0.47874,2.0166,0.19827,0.47874,2.0166,-2.5941,0.47874,2.0166,-2.5941,1.2997,2.0166,-2.5941,1.2997,0.49433,-2.5941,1.2997,0.49433,1.5638,1.2997,0.49433,1.5638,2.3237
,-0.3583,0.21675,-1.133,-0.49547,0.21675,-1.133,-0.49547,0.35463,-1.133,-0.49547,0.35463,0.90551,-0.49547,0.35463,0.90551,1.6501,0.35463,0.90551,1.6501,0.5966,0.90551,1.6501,0.5966,1.8962,1.6501,0.5966,1.8962,0.4138,0.5966,1.8962,0.4138,0.68666,1.8962,0.4138,0.68666,1.6523,0.4138,0.68666,1.6523,-1.5928,0.68666,1.6523,-1.5928,0.087862,1.6523,-1.5928,0.087862,0.015551,-1.5928,0.087862,0.015551,-0.37733,0.087862,0.015551,-0.37733,-1.0346,0.015551,-0.37733,-1.0346,-1.9808,-0.37733,-1.0346,-1.9808,1.2361,-1.0346,-1.9808,1.2361,-0.46091,-1.9808,1.2361,-0.46091,-0.2433,1.2361,-0.46091,-0.2433,1.3338,-0.46091,-0.2433,1.3338,-2.4112,-0.2433,1.3338,-2.4112,0.54809,1.3338,-2.4112,0.54809,0.23835,-2.4112,0.54809,0.23835,-0.65591,0.54809,0.23835,-0.65591,-1.5505,0.23835,-0.65591,-1.5505,0.26214,-0.65591,-1.5505,0.26214,0.7278,-1.5505,0.26214,0.7278,1.4366,0.26214,0.7278,1.4366,-0.92106,0.7278,1.4366,-0.92106,-1.6492,1.4366,-0.92106,-1.6492,1.9096
,2.3649,0.36987,1.1467,0.27113,0.36987,1.1467,0.27113,-0.36251,1.1467,0.27113,-0.36251,-0.43116,0.27113,-0.36251,-0.43116,1.9273,-0.36251,-0.43116,1.9273,-0.60531,-0.43116,1.9273,-0.60531,0.83851,1.9273,-0.60531,0.83851,-4.0141,-0.60531,0.83851,-4.0141,-0.67786,0.83851,-4.0141,-0.67786,-0.30865,-4.0141,-0.67786,-0.30865,-1.6711,-0.67786,-0.30865,-1.6711,0.015976,-0.30865,-1.6711,0.015976,-1.6689,-1.6711,0.015976,-1.6689,1.8625,0.015976,-1.6689,1.8625,-0.29047,-1.6689,1.8625,-0.29047,-1.2926,1.8625,-0.29047,-1.2926,-0.012548,-0.29047,-1.2926,-0.012548,-0.43681,-1.2926,-0.012548,-0.43681,0.2301,-0.012548,-0.43681,0.2301,-0.94697,-0.43681,0.2301,-0.94697,1.4082,0.2301,-0.94697,1.4082,0.26654,-0.94697,1.4082,0.26654,0.46,1.4082,0.26654,0.46,-0.23758,0.26654,0.46,-0.23758,0.9285,0.46,-0.23758,0.9285,0.13162,-0.23758,0.9285,0.13162,0.16665,0.9285,0.13162,0.16665,-0.23557,0.13162,0.16665,-0.23557,0.22085,0.16665,-0.23557,0.22085,-1.1512,-0.23557,0.22085,-1.1512,0.3408
,1.3021,0.6128,1.6907,0.84079,0.6128,1.6907,0.84079,-0.11222,1.6907,0.84079,-0.11222,0.99828,0.84079,-0.11222,0.99828,0.041305,-0.11222,0.99828,0.041305,1.6529,0.99828,0.041305,1.6529,-0.96155,0.041305,1.6529,-0.96155,-0.85027,1.6529,-0.96155,-0.85027,0.025061,-0.96155,-0.85027,0.025061,-1.5747,-0.85027,0.025061,-1.5747,-0.40038,0.025061,-1.5747,-0.40038,-1.6283,-1.5747,-0.40038,-1.6283,-1.9848,-0.40038,-1.6283,-1.9848,0.75474,-1.6283,-1.9848,0.75474,-0.6075,-1.9848,0.75474,-0.6075,0.15235,0.75474,-0.6075,0.15235,-1.2891,-0.6075,0.15235,-1.2891,0.77356,0.15235,-1.2891,0.77356,0.28717,-1.2891,0.77356,0.28717,0.022694,0.77356,0.28717,0.022694,0.96876,0.28717,0.022694,0.96876,-0.43662,0.022694,0.96876,-0.43662,-0.66182,0.96876,-0.43662,-0.66182,-2.7055,-0.43662,-0.66182,-2.7055,-1.2009,-0.66182,-2.7055,-1.2009,-0.025977,-2.7055,-1.2009,-0.025977,-0.68472,-1.2009,-0.025977,-0.68472,-0.69328,-0.025977,-0.68472,-0.69328,0.03599,-0.68472,-0.69328,0.03599,1.1979,-0.69328,0.03599,1.1979,-0.39058
,0.21374,-0.39721,-0.3823,0.63238,-0.39721,-0.3823,0.63238,-0.47584,-0.3823,0.63238,-0.47584,0.88084,0.63238,-0.47584,0.88084,-1.323,-0.47584,0.88084,-1.323,-0.43733,0.88084,-1.323,-0.43733,-1.4464,-1.323,-0.43733,-1.4464,0.35858,-0.43733,-1.4464,0.35858,1.1469,-1.4464,0.35858,1.1469,0.11605,0.35858,1.1469,0.11605,-0.096293,1.1469,0.11605,-0.096293,-0.27741,0.11605,-0.096293,-0.27741,0.39741,-0.096293,-0.27741,0.39741,-1.0169,-0.27741,0.39741,-1.0169,0.51194,0.39741,-1.0169,0.51194,1.3032,-1.0169,0.51194,1.3032,0.24604,0.51194,1.3032,0.24604,-1.139,1.3032,0.24604,-1.139,-1.1968,0.24604,-1.139,-1.1968,-0.14789,-1.139,-1.1968,-0.14789,-0.20825,-1.1968,-0.14789,-0.20825,0.75752,-0.14789,-0.20825,0.75752,-0.84249,-0.20825,0.75752,-0.84249,0.90465,0.75752,-0.84249,0.90465,-0.31185,-0.84249,0.90465,-0.31185,0.74471,0.90465,-0.31185,0.74471,-0.16229,-0.31185,0.74471,-0.16229,-0.014953,0.74471,-0.16229,-0.014953,1.6438,-0.16229,-0.014953,1.6438,1.9664,-0.014953,1.6438,1.9664,-1.3051
,-0.074353,-0.16719,0.45485,0.24117,-0.16719,0.45485,0.24117,0.036502,0.45485,0.24117,0.036502,-1.5068,0.24117,0.036502,-1.5068,0.4943,0.036502,-1.5068,0.4943,-1.8969,-1.5068,0.4943,-1.8969,-0.81147,0.4943,-1.8969,-0.81147,-1.3196,-1.8969,-0.81147,-1.3196,0.98872,-0.81147,-1.3196,0.98872,2.2659,-1.3196,0.98872,2.2659,0.068992,0.98872,2.2659,0.068992,-0.12231,2.2659,0.068992,-0.12231,0.92043,0.068992,-0.12231,0.92043,0.85485,-0.12231,0.92043,0.85485,2.2005,0.92043,0.85485,2.2005,1.1099,0.85485,2.2005,1.1099,0.25361,2.2005,1.1099,0.25361,-0.20053,1.1099,0.25361,-0.20053,0.78987,0.25361,-0.20053,0.78987,0.71713,-0.20053,0.78987,0.71713,0.7126,0.78987,0.71713,0.7126,0.28738,0.71713,0.7126,0.28738,1.0762,0.7126,0.28738,1.0762,-1.7584,0.28738,1.0762,-1.7584,0.32314,1.0762,-1.7584,0.32314,-0.75735,-1.7584,0.32314,-0.75735,-1.6387,0.32314,-0.75735,-1.6387,1.1628,-0.75735,-1.6387,1.1628,0.015881,-1.6387,1.1628,0.015881,1.291,1.1628,0.015881,1.291,-1.4459
,0.22649,-0.37391,2.0317,0.20035,-0.37391,2.0317,0.20035,1.2723,2.0317,0.20035,1.2723,-0.13011,0.20035,1.2723,-0.13011,-0.15915,1.2723,-0.13011,-0.15915,1.0343,-0.13011,-0.15915,1.0343,-0.28807,-0.15915,1.0343,-0.28807,0.97663,1.0343,-0.28807,0.97663,-0.48691,-0.28807,0.97663,-0.48691,0.80571,0.97663,-0.48691,0.80571,0.26797,-0.48691,0.80571,0.26797,-0.1394,0.80571,0.26797,-0.1394,-1.7104,0.26797,-0.1394,-1.7104,1.3536,-0.1394,-1.7104,1.3536,-2.3336,-1.7104,1.3536,-2.3336,0.96303,1.3536,-2.3336,0.96303,1.2562,-2.3336,0.96303,1.2562,-0.57076,0.96303,1.2562,-0.57076,0.1496,1.2562,-0.57076,0.1496,-1.4922,-0.57076,0.1496,-1.4922,0.30774,0.1496,-1.4922,0.30774,1.1554,-1.4922,0.30774,1.1554,-0.67279,0.30774,1.1554,-0.67279,-0.73393,1.1554,-0.67279,-0.73393,0.12031,-0.67279,-0.73393,0.12031,-0.84013,-0.73393,0.12031,-0.84013,-1.3037,0.12031,-0.84013,-1.3037,-2.4082,-0.84013,-1.3037,-2.4082,0.66326,-1.3037,-2.4082,0.66326,-1.9092,-2.4082,0.66326,-1.9092,-1.6148
,0.89652,0.18631,1.1903,1.4059,0.18631,1.1903,1.4059,1.0559,1.1903,1.4059,1.0559,-1.4242,1.4059,1.0559,-1.4242,-0.8095,1.0559,-1.4242,-0.8095,1.3288,-1.4242,-0.8095,1.3288,2.4504,-0.8095,1.3288,2.4504,-0.24403,1.3288,2.4504,-0.24403,0.39886,2.4504,-0.24403,0.39886,1.0361,-0.24403,0.39886,1.0361,0.23473,0.39886,1.0361,0.23473,-1.2392,1.0361,0.23473,-1.2392,-0.086384,0.23473,-1.2392,-0.086384,-0.034078,-1.2392,-0.086384,-0.034078,0.898,-0.086384,-0.034078,0.898,-1.2685,-0.034078,0.898,-1.2685,0.26687,0.898,-1.2685,0.26687,0.62955,-1.2685,0.26687,0.62955,1.7559,0.26687,0.62955,1.7559,1.3361,0.62955,1.7559,1.3361,-0.025292,1.7559,1.3361,-0.025292,0.76226,1.3361,-0.025292,0.76226,1.1939,-0.025292,0.76226,1.1939,-1.3265,0.76226,1.1939,-1.3265,1.5669,1.1939,-1.3265,1.5669,1.0036,-1.3265,1.5669,1.0036,0.45756,1.5669,1.0036,0.45756,-0.95831,1.0036,0.45756,-0.95831,0.36723,0.45756,-0.95831,0.36723,1.516,-0.95831,0.36723,1.516,0.19859
